H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.0885,0.0791,-0.0094,0.1247,0.135,0.0103,0.0813,0.0953,0.014,0.0998,0.5146,0.4148,0.1235,0.278,0.1545,0.1392,0.2055,0.0663,0.09,0.0766,-0.0134,0.137,0.1447,0.0077,0.1344,0.0734,-0.061,0.0908,0.0968,0.006,0.0845
0.07,0.119,0.049,0.0969,0.1006,0.0037,0.0768,0.09,0.0132,0.0861,0.1397,0.0536,0.0726,0.2107,0.1381,0.1281,0.1783,0.0502,0.095,0.0708,-0.0242,0.1357,0.1759,0.0402,0.076,0.0013,-0.0747,0.0953,0.3699,0.2746,0.119
0.0771,0.1179,0.0408,0.1091,0.0969,-0.0122,0.075,0.0901,0.0151,0.0898,0.1803,0.0905,0.0839,0.217,0.1331,0.1318,0.1461,0.0143,0.0919,0.0931,0.0012,0.0958,0.085,-0.0108,0.1315,0.0573,-0.0742,0.095,0.0656,-0.0294,0.1166
0.0378,0.1494,0.1116,0.1285,0.0876,-0.0409,0.0866,0.1339,0.0473,0.1143,0.1262,0.0119,0.0797,0.2107,0.131,0.1357,0.1439,0.0082,0.0945,0.1062,0.0117,0.1069,0.1083,0.0014,0.1227,0.0472,-0.0755,0.1016,0.0698,-0.0318,0.1177
0.0531,0.1211,0.068,0.1101,0.0845,-0.0256,0.0731,0.1349,0.0618,0.1117,0.1071,-0.0046,0.0785,0.219,0.1405,0.1252,0.1511,0.0259,0.1075,0.0774,-0.0301,0.1062,0.1556,0.0494,0.1095,0.0493,-0.0602,0.0982,0.0672,-0.031,0.1085
0.0562,0.1184,0.0622,0.0966,0.0813,-0.0153,0.0863,0.1315,0.0452,0.1077,0.1159,0.0082,0.0755,0.2207,0.1452,0.1367,0.165,0.0283,0.0953,0.1004,0.0051,0.1579,0.1017,-0.0562,0.14,0.0824,-0.0576,0.0898,0.0683,-0.0215,0.108
0.0705,0.1127,0.0422,0.108,0.1162,0.0082,0.0829,0.1196,0.0367,0.1009,0.0897,-0.0112,0.0919,0.2104,0.1185,0.1339,0.1325,-0.0014,0.102,0.1214,0.0194,0.1265,0.0555,-0.071,0.1611,0.0848,-0.0763,0.1059,0.1388,0.0329,0.061
0.0668,0.129,0.0622,0.1017,0.0631,-0.0386,0.0948,0.1104,0.0156,0.1067,0.1016,-0.0051,0.0808,0.1962,0.1154,0.1418,0.1677,0.0259,0.1122,0.0845,-0.0277,0.1426,0.0397,-0.1029,0.1734,0.1116,-0.0618,0.0893,0.0751,-0.0142,0.0906
0.0576,0.1346,0.077,0.0927,0.0708,-0.0219,0.0998,0.1492,0.0494,0.1122,0.0971,-0.0151,0.0811,0.2221,0.141,0.1455,0.1498,0.0043,0.0898,0.1042,0.0144,0.1391,0.075,-0.0641,0.1431,0.0837,-0.0594,0.0684,0.1472,0.0788,0.0438
0.0787,0.1327,0.054,0.1051,0.0898,-0.0153,0.0863,0.1254,0.0391,0.0993,0.08,-0.0193,0.0929,0.2105,0.1176,0.1437,0.1722,0.0285,0.1112,0.1083,-0.0029,0.1368,0.0991,-0.0377,0.1563,0.1114,-0.0449,0.0679,0.021,-0.0469,0.1434
